时间,上证指数,上证50,沪深300,中证500,万得全A
2016-01-20,0.025365576092447623,0.025841053250133104,0.025691096200279036,0.02957676852603146,0.03119031784161672
2016-01-21,0.025446608070615665,0.025879246268638356,0.025756783847211334,0.029693453431776536,0.031296398788027584
2016-01-22,0.025359446399350415,0.02576700202980833,0.02569883625849659,0.02969903953415151,0.031282593913045595
2016-01-25,0.025352370906789618,0.025762053598550872,0.025694815593925942,0.029694819286106237,0.03128108348325551
2016-01-26,0.025208940889349236,0.025345794629643686,0.025514437583648943,0.029949533867263407,0.031406727553638256
2016-01-27,0.025183850097017648,0.0253455896607694,0.025503014455031572,0.029878099586161496,0.03137754559924379
2016-01-28,0.02506687091528432,0.02510729903481609,0.025392958472819253,0.029968174518779735,0.03139937885826696
2016-01-29,0.02514230873976584,0.025190291848271824,0.025475512290143658,0.030048609871358437,0.031488438969699994
2016-02-01,0.02516542497755543,0.025208570659219883,0.02549260651538063,0.030052880186625136,0.03150312676417538
2016-02-02,0.02520020182520874,0.02523314032513676,0.025519300761225622,0.030099335993006352,0.03155467825799804
2016-02-03,0.02519537666663478,0.025220389492742367,0.025514488270096544,0.030100003835716968,0.03155423205816649
2016-02-04,0.025200109450709034,0.025216962826769617,0.025512744031226824,0.030122601663361448,0.031571060126744425
2016-02-05,0.02518990662483585,0.02519402983961244,0.02550490364301405,0.030126444088356092,0.031571183191670654
2016-02-15,0.025173313474169616,0.02518394679178645,0.025493291069765566,0.030116080508343194,0.03155995719948144
2016-02-16,0.025209301232557945,0.025172730083760864,0.025525585846422578,0.030225366103441693,0.03165202275282368
2016-02-17,0.025170663884808465,0.025096297655185073,0.02548244428715369,0.03021460328134262,0.03163168534721732
2016-02-18,0.02516363528129458,0.02508215442402761,0.025474866966119804,0.03021365720181103,0.03162900741971361
2016-02-19,0.02515264103866731,0.025075196946031147,0.025466771471874358,0.030212037149695083,0.0316254923730852
2016-02-22,0.02516657696039773,0.0251177733630399,0.025484352301105007,0.030206771646638986,0.03163318460746304
2016-02-23,0.025168971164835057,0.025102369380062245,0.025483492322303302,0.030206819070980006,0.03163810416230554
2016-02-24,0.025157222426830685,0.025085285878969403,0.025460609114958125,0.030197992594691615,0.03162431813045148
2016-02-25,0.025479611330035193,0.025305576903949058,0.025748948499943337,0.030613728727722257,0.032015330728324604
2016-02-26,0.025484891869258453,0.025317563879600595,0.025756639789438665,0.03061176670237448,0.03201424586564319
2016-02-29,0.025540410126629477,0.0253174556570027,0.025794772302385055,0.030781579478798483,0.03215527589131335
2016-03-01,0.02556059969958496,0.02533551911450076,0.02581632205756724,0.03079625263225289,0.03217464295268418
2016-03-02,0.02569983927924814,0.02543516596380923,0.025946115358213305,0.030960939331870902,0.032333067740813466
2016-03-03,0.025698639285003107,0.025419259507888658,0.025935141986149955,0.03096176646534976,0.032329497741977596
2016-03-04,0.02566389961578023,0.025440712214143672,0.02589604139006886,0.031002864832740323,0.03232614340939448
2016-03-07,0.025668113379384797,0.025444027266432055,0.025896811023301644,0.031033125440052527,0.03233998146166396
2016-03-08,0.025663231716847576,0.0254448275083483,0.02589170963653501,0.031007724939683713,0.03232624179972013
2016-03-09,0.0256398151558923,0.025358855790680056,0.025850317757417685,0.031049755227686483,0.03233536736971318
2016-03-10,0.025668808588680186,0.025403123057248185,0.025874438086344646,0.03105408348038961,0.032351879076096525
2016-03-11,0.025662584754327887,0.025392106191772193,0.02586774873226972,0.03105444054051531,0.03235128058039514
2016-03-14,0.025686793103640648,0.025392936664561355,0.02588554759705992,0.031114386974043944,0.03239959463476318
2016-03-15,0.025658572048462593,0.025354154302286585,0.02586330388477797,0.03110917783125504,0.032384650893583555
2016-03-16,0.02565725197210547,0.025361191901299755,0.025863701917120833,0.03111447692109413,0.03238455488042173
2016-03-17,0.025668629349600867,0.02535902651569031,0.02587334452391688,0.031183717964165095,0.03242793686364441
2016-03-18,0.02566743624147092,0.02527947541439685,0.025862333119731972,0.031263191152245386,0.0324798225913299
2016-03-21,0.025700144778912578,0.02532608200623839,0.02590525429548785,0.03129563996097417,0.03252102674131089
2016-03-22,0.025662513468117605,0.02529211870587714,0.02586269146399984,0.03124167669442713,0.0324709532851194
