时间,上证指数
2013-03-25,0.9279077812979388
2013-03-26,0.9163240637323667
2013-03-27,0.9177557770856825
2013-03-28,0.891850539121527
2013-03-29,0.8919777582189387
2013-04-01,0.8910900161786934
2013-04-02,0.8884359625947615
2013-04-03,0.8874608820519047
2013-04-08,0.8819960441464776
2013-04-09,0.887652308906944
2013-04-10,0.8877922897946916
2013-04-11,0.8851709382984956
2013-04-12,0.8851709382984956
2013-04-15,0.8851709382984956
2013-04-16,0.8851709382984956
2013-04-17,0.8851709382984956
2013-04-18,0.8851709382984956
2013-04-19,0.8851709382984956
2013-04-22,0.8851709382984956
2013-04-23,0.8851709382984956
2013-04-24,0.8851709382984956
2013-04-25,0.8851709382984956
2013-04-26,0.8851709382984956
2013-05-02,0.8851709382984956
2013-05-03,0.8851709382984956
2013-05-06,0.8851709382984956
2013-05-07,0.8851709382984956
2013-05-08,0.8851709382984956
2013-05-09,0.8851709382984956
2013-05-10,0.8851709382984956
2013-05-13,0.8851709382984956
2013-05-14,0.8851709382984956
2013-05-15,0.8851709382984956
2013-05-16,0.8851709382984956
2013-05-17,0.8851709382984956
2013-05-20,0.8851709382984956
2013-05-21,0.8851709382984956
2013-05-22,0.8851709382984956
2013-05-23,0.8851709382984956
2013-05-24,0.8851709382984956
2013-05-27,0.8851709382984956
2013-05-28,0.8851709382984956
2013-05-29,0.8851709382984956
2013-05-30,0.8851709382984956
2013-05-31,0.8851709382984956
2013-06-03,0.8851709382984956
2013-06-04,0.8851709382984956
2013-06-05,0.8851709382984956
2013-06-06,0.8851709382984956
2013-06-07,0.8851709382984956
2013-06-13,0.8851709382984956
2013-06-14,0.8851709382984956
2013-06-17,0.8851709382984956
2013-06-18,0.8851709382984956
2013-06-19,0.8851709382984956
2013-06-20,0.8851709382984956
2013-06-21,0.8851709382984956
2013-06-24,0.8851709382984956
2013-06-25,0.8851709382984956
2013-06-26,0.8851709382984956
2013-06-27,0.8851709382984956
2013-06-28,0.8851709382984956
2013-07-01,0.8851709382984956
2013-07-02,0.8851709382984956
2013-07-03,0.8851709382984956
2013-07-04,0.8851709382984956
2013-07-05,0.8851709382984956
2013-07-08,0.8851709382984956
2013-07-09,0.8851709382984956
2013-07-10,0.8851709382984956
2013-07-11,0.8851709382984956
2013-07-12,0.8851709382984956
2013-07-15,0.8851709382984956
2013-07-16,0.8851709382984956
2013-07-17,0.8851709382984956
2013-07-18,0.8851709382984956
2013-07-19,0.8851709382984956
2013-07-22,0.8851709382984956
2013-07-23,0.8851709382984956
2013-07-24,0.8851709382984956
2013-07-25,0.8851709382984956
2013-07-26,0.8851709382984956
2013-07-29,0.8851709382984956
2013-07-30,0.8851709382984956
2013-07-31,0.8851709382984956
2013-08-01,0.8851709382984956
2013-08-02,0.8851709382984956
2013-08-05,0.8851709382984956
2013-08-06,0.8851709382984956
2013-08-07,0.8851709382984956
2013-08-08,0.8851709382984956
2013-08-09,0.8851709382984956
2013-08-12,0.8851709382984956
2013-08-13,0.8851709382984956
2013-08-14,0.8851709382984956
2013-08-15,0.8851709382984956
2013-08-16,0.8851709382984956
2013-08-19,0.8851709382984956
2013-08-20,0.8851709382984956
2013-08-21,0.8851709382984956
2013-08-22,0.8851709382984956
2013-08-23,0.8851709382984956
2013-08-26,0.8851709382984956
2013-08-27,0.8851709382984956
2013-08-28,0.8851709382984956
2013-08-29,0.8834547698853895
2013-08-30,0.8839413124767341
2013-09-02,0.8839691149105252
2013-09-03,0.894358800168465
2013-09-04,0.8962569481482037
2013-09-05,0.8940715083526233
2013-09-06,0.9014699044840373
2013-09-09,0.932020145481506
2013-09-10,0.942748514932901
2013-09-11,0.9441318966385074
2013-09-12,0.9501713435061315
2013-09-13,0.9420041679554935
2013-09-16,0.9399754327867357
2013-09-17,0.92066495752282
2013-09-18,0.9233150349619094
2013-09-23,0.935612556926515
2013-09-24,0.929920219232283
2013-09-25,0.926122238276818
2013-09-26,0.9081323786179805
2013-09-27,0.9099092068866308
2013-09-30,0.9160754497023023
2013-10-08,0.9259891235938185
2013-10-09,0.93170547248087
2013-10-10,0.9229266433868276
2013-10-11,0.9386042673020378
2013-10-14,0.9426596313945688
2013-10-15,0.940822564519371
2013-10-16,0.9238302224850387
